Scenario,Version,User,Feature,Role,App,Time,Measure,value
Actual,Working,A,export,Specialist,web,2026_02,events,1.0
Actual,Working,A,export,Specialist,web,2026_02,items,1.0
Actual,Working,A,export,Specialist,web,2026_02,manual_min,15.0
Actual,Working,A,export,Specialist,web,2026_02,tool_min,5.0
Actual,Working,A,export,Specialist,web,2026_02,per_item,0.0
Actual,Working,A,export,Specialist,web,2026_02,hourly_rate,50.0
Actual,Working,A,geocode,Specialist,web,2026_01,events,1.0
Actual,Working,A,geocode,Specialist,web,2026_01,items,10.0
Actual,Working,A,geocode,Specialist,web,2026_01,manual_min,8.0
Actual,Working,A,geocode,Specialist,web,2026_01,tool_min,2.4
Actual,Working,A,geocode,Specialist,web,2026_01,per_item,1.0
Actual,Working,A,geocode,Specialist,web,2026_01,hourly_rate,50.0
Actual,Working,A,geocode,Specialist,web,2026_02,events,1.0
Actual,Working,A,geocode,Specialist,web,2026_02,items,5.0
Actual,Working,A,geocode,Specialist,web,2026_02,manual_min,8.0
Actual,Working,A,geocode,Specialist,web,2026_02,tool_min,2.4
Actual,Working,A,geocode,Specialist,web,2026_02,per_item,1.0
Actual,Working,A,geocode,Specialist,web,2026_02,hourly_rate,50.0
Actual,Working,B,geocode,Specialist,cli,2026_02,events,1.0
Actual,Working,B,geocode,Specialist,cli,2026_02,items,20.0
Actual,Working,B,geocode,Specialist,cli,2026_02,manual_min,8.0
Actual,Working,B,geocode,Specialist,cli,2026_02,tool_min,2.4
Actual,Working,B,geocode,Specialist,cli,2026_02,per_item,1.0
Actual,Working,B,geocode,Specialist,cli,2026_02,hourly_rate,50.0
Actual,Working,C,export,Director,web,2026_03,events,1.0
Actual,Working,C,export,Director,web,2026_03,items,1.0
Actual,Working,C,export,Director,web,2026_03,manual_min,15.0
Actual,Working,C,export,Director,web,2026_03,tool_min,5.0
Actual,Working,C,export,Director,web,2026_03,per_item,0.0
Actual,Working,C,export,Director,web,2026_03,hourly_rate,85.0
